name,href,price_begin,price_end
Начальник бюро стандартизации и сертификации,https://tomsk.hh.ru/vacancy/45610729?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,0.0
Начальник отдела фармацевтической разработки,https://tomsk.hh.ru/vacancy/45172689?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Контролер ОТК,https://tomsk.hh.ru/vacancy/45602381?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,45000.0
Специалист по качеству,https://tomsk.hh.ru/vacancy/44070120?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Контролер ОТК,https://tomsk.hh.ru/vacancy/45602380?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,45000.0
Контролер ОТК,https://tomsk.hh.ru/vacancy/45602382?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,45000.0
"Продавец (Рошаль, улица Химиков, 12Б)",https://tomsk.hh.ru/vacancy/40508029?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,10000.0,25000.0
Провизор-технолог,https://tomsk.hh.ru/vacancy/44641594?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,0.0
Инженер по техническому контролю качества,https://tomsk.hh.ru/vacancy/44149209?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,43000.0,0.0
Специалист по оптовым продажам,https://tomsk.hh.ru/vacancy/45647885?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,80000.0,0.0
Инженер по организации и нормированию труда,https://tomsk.hh.ru/vacancy/45607564?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,0.0
Технолог участка производства,https://tomsk.hh.ru/vacancy/43809101?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Инженер-технолог,https://tomsk.hh.ru/vacancy/43518274?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,47000.0,0.0
Ведущий химик-аналитик,https://tomsk.hh.ru/vacancy/44661801?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,60000.0,0.0
Заместитель руководителя службы закупок и логистики,https://tomsk.hh.ru/vacancy/45607528?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Начальник отдела регистрации лекарственных средств,https://tomsk.hh.ru/vacancy/36618163?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,73500.0,0.0
